id;railway;name;customhouse;x_coord;y_coord
0;ДАЛЬНЕВОСТОЧНАЯ;МЫС-ЧУРКИН;690012 ПРИМОРСКИЙ КРАЙ, Г.ВЛАДИВОСТОК, УЛ.БЕРЕЗОВАЯ, Д. 25;43.101563;131.890569
1;ЮГО-ВОСТОЧНАЯ;ДОБРИНКА;398037 Г.ЛИПЕЦК, ТРУБНЫЙ ПР-Д, Д.3;52.625376;39.5478
2;МОСКОВСКАЯ;БРОННИЦЫ;142000 МОСКОВСКАЯ ОБЛ., Г.ДОМОДЕДОВО, УЛ.ЛОГИСТИЧЕСКАЯ, Д.1/6, КОРП.7Б;55.474056;37.736761
3;КАЗАХСТАНСКАЯ;АКТАУ-ПОРТ-ПАРОМ;РЕСПУБЛИКА КАЗАХСТАН , 130000 МАНГИСТАУСКАЯ ОБЛАСТЬ, ПОС. УМИРЗАК, ТЕРРИТОР;44.122553;53.72203
4;КАЗАХСТАНСКАЯ;КАЙРАНКУЛЬ;РЕСПУБЛИКА КАЗАХСТАН , 150400 СЕВЕРО-КАЗАХСТАНСКАЯ ОБЛАСТЬ, Р-Н ИМ. Г. МУСР;52.762043;66.897899
5;ГОРЬКОВСКАЯ;ТИХОРЕЦКАЯ;420030 РЕСПУБЛИКА ТАТАРСТАН, Г. КАЗАНЬ, СТ. ЛАГЕРНАЯ, УЛ. БОЕВАЯ;55.800433;49.021865
6;ДАЛЬНЕВОСТОЧНАЯ;ХОЛМСК-ПЕРЕВАЛКА;САХАЛИHСКАЯ ОБЛ., ПГТ.ЮЖHО-КУРИЛЬСК, УЛ.ЗАВОДСКАЯ, 25;44.022206;145.856488
7;КАЗАХСТАНСКАЯ;МЕНЛИБАЙ;РЕСПУБЛИКА КАЗАХСТАН , Туркестанская область;44.29477;68.676347
8;КАЗАХСТАНСКАЯ;КАМЫШЛЫБАШ;РЕСПУБЛИКА КАЗАХСТАН КЫЗЫЛОРДИНСКАЯ ОБЛАСТЬ, Г.АРАЛ,    УЛ.К. ЕРИБЕТ 4А;46.803278;61.654881
9;СЕВЕРНАЯ;ЗЕБЛЯКИ;157510 КОСТРОМСКАЯ ОБЛ., Г.ШАРЬЯ, ПОС.ВЕТЛУЖСКИЙ, УЛ.ЦЕНТРАЛЬНАЯ, Д.4;58.396893;45.473959
